   50.00,  100.00
   50.20,  100.20
   50.40,  100.40
   50.60,  100.60
   50.80,  100.80
   51.00,  101.00
   51.20,  101.19
   51.40,  101.39
   51.60,  101.59
   51.80,  101.79
   52.01,  101.99
   52.21,  102.18
   52.41,  102.38
   52.61,  102.57
   52.81,  102.77
   53.01,  102.97
   53.21,  103.16
   53.41,  103.36
   53.62,  103.55
   53.82,  103.75
   54.02,  103.94
   54.22,  104.13
   54.42,  104.33
   54.63,  104.52
   54.83,  104.71
   55.03,  104.91
   55.23,  105.10
   55.44,  105.29
   55.64,  105.48
   55.84,  105.67
   56.04,  105.86
   56.25,  106.06
   56.45,  106.25
   56.65,  106.44
   56.86,  106.63
   57.06,  106.82
   57.26,  107.01
   57.47,  107.19
   57.67,  107.38
   57.88,  107.57
   58.08,  107.76
   58.28,  107.95
   58.49,  108.14
   58.69,  108.32
   58.90,  108.51
   59.10,  108.70
   59.31,  108.88
   59.51,  109.07
   59.72,  109.25
   59.92,  109.44
   60.13,  109.63
   60.33,  109.81
   60.54,  109.99
   60.74,  110.18
   60.95,  110.36
   61.15,  110.55
   61.36,  110.73
   61.56,  110.91
   61.77,  111.10
   61.97,  111.28
   62.18,  111.46
   62.39,  111.64
   62.59,  111.82
   62.80,  112.00
   63.00,  112.19
   63.21,  112.37
   63.42,  112.55
   63.62,  112.73
   63.83,  112.91
   64.04,  113.09
   64.25,  113.26
   64.45,  113.44
   64.66,  113.62
   64.87,  113.80
   65.07,  113.98
   65.28,  114.16
   65.49,  114.33
   65.70,  114.51
   65.90,  114.69
   66.11,  114.86
   66.32,  115.04
   66.53,  115.22
   66.74,  115.39
   66.94,  115.57
   67.15,  115.74
   67.36,  115.92
   67.57,  116.09
   67.78,  116.26
   67.99,  116.44
   68.20,  116.61
   68.40,  116.79
   68.61,  116.96
   68.82,  117.13
   69.03,  117.30
   69.24,  117.47
   69.45,  117.65
   69.66,  117.82
   69.87,  117.99
   70.08,  118.16
   70.29,  118.33
   70.50,  118.50
   70.71,  118.67
   70.92,  118.84
   71.13,  119.01
   71.34,  119.18
   71.55,  119.35
   71.76,  119.51
   71.97,  119.68
   72.18,  119.85
   72.39,  120.02
   72.60,  120.18
   72.82,  120.35
   73.03,  120.52
   73.24,  120.68
   73.45,  120.85
   73.66,  121.02
   73.87,  121.18
   74.08,  121.35
   74.30,  121.51
   74.51,  121.68
   74.72,  121.84
   74.93,  122.00
   75.14,  122.17
   75.36,  122.33
   75.57,  122.49
   75.78,  122.66
   75.99,  122.82
   76.21,  122.98
   76.42,  123.14
   76.63,  123.30
   76.85,  123.46
   77.06,  123.63
   77.27,  123.79
   77.48,  123.95
   77.70,  124.11
   77.91,  124.27
   78.12,  124.43
   78.34,  124.58
   78.55,  124.74
   78.77,  124.90
   78.98,  125.06
   79.19,  125.22
   79.41,  125.38
   79.62,  125.53
   79.84,  125.69
   80.05,  125.85
   80.27,  126.00
   80.48,  126.16
   80.70,  126.31
   80.91,  126.47
   81.13,  126.63
   81.34,  126.78
   81.56,  126.93
   81.77,  127.09
   81.99,  127.24
   82.20,  127.40
   82.42,  127.55
   82.63,  127.70
   82.85,  127.86
   83.06,  128.01
   83.28,  128.16
   83.50,  128.31
   83.71,  128.46
   83.93,  128.61
   84.14,  128.77
   84.36,  128.92
   84.58,  129.07
   84.79,  129.22
   85.01,  129.37
   85.23,  129.52
   85.44,  129.67
   85.66,  129.81
   85.88,  129.96
   86.10,  130.11
   86.31,  130.26
   86.53,  130.41
   86.75,  130.55
   86.97,  130.70
   87.18,  130.85
   87.40,  130.99
   87.62,  131.14
   87.84,  131.29
   88.06,  131.43
   88.27,  131.58
   88.49,  131.72
   88.71,  131.87
   88.93,  132.01
   89.15,  132.15
   89.37,  132.30
   89.59,  132.44
   89.81,  132.59
   90.02,  132.73
   90.24,  132.87
   90.46,  133.01
   90.68,  133.15
   90.90,  133.30
   91.12,  133.44
   91.34,  133.58
   91.56,  133.72
   91.78,  133.86
   92.00,  134.00
   92.22,  134.14
   92.44,  134.28
   92.66,  134.42
   92.88,  134.56
   93.10,  134.70
   93.32,  134.83
   93.54,  134.97
   93.76,  135.11
   93.98,  135.25
   94.21,  135.38
   94.43,  135.52
   94.65,  135.66
   94.87,  135.79
   95.09,  135.93
   95.31,  136.07
   95.53,  136.20
   95.75,  136.34
   95.98,  136.47
   96.20,  136.61
   96.42,  136.74
   96.64,  136.87
   96.86,  137.01
   97.09,  137.14
   97.31,  137.27
   97.53,  137.41
   97.75,  137.54
   97.98,  137.67
   98.20,  137.80
   98.42,  137.93
   98.65,  138.07
   98.87,  138.20
   99.09,  138.33
   99.31,  138.46
   99.54,  138.59
   99.76,  138.72
   99.98,  138.85
  100.21,  138.97
  100.43,  139.10
  100.66,  139.23
  100.88,  139.36
  101.10,  139.49
  101.33,  139.62
  101.55,  139.74
  101.78,  139.87
  102.00,  140.00
  102.23,  140.12
  102.45,  140.25
  102.68,  140.37
  102.90,  140.50
  103.13,  140.63
  103.35,  140.75
  103.58,  140.87
  103.80,  141.00
  104.03,  141.12
  104.25,  141.25
  104.48,  141.37
  104.70,  141.49
  104.93,  141.62
  105.15,  141.74
  105.38,  141.86
  105.61,  141.98
  105.83,  142.10
  106.06,  142.22
  106.28,  142.35
  106.51,  142.47
  106.74,  142.59
  106.96,  142.71
  107.19,  142.83
  107.42,  142.95
  107.65,  143.07
  107.87,  143.18
  108.10,  143.30
  108.33,  143.42
  108.55,  143.54
  108.78,  143.66
  109.01,  143.77
  109.24,  143.89
  109.46,  144.01
  109.69,  144.12
  109.92,  144.24
  110.15,  144.36
  110.38,  144.47
  110.60,  144.59
  110.83,  144.70
  111.06,  144.82
  111.29,  144.93
  111.52,  145.04
  111.75,  145.16
  111.98,  145.27
  112.21,  145.39
  112.43,  145.50
  112.66,  145.61
  112.89,  145.72
  113.12,  145.83
  113.35,  145.95
  113.58,  146.06
  113.81,  146.17
  114.04,  146.28
  114.27,  146.39
  114.50,  146.50
  114.73,  146.61
  114.96,  146.72
